Sample_ID,pF,theta_VGM,k_VGM,theta_PDI,k_PDI
FSUJ_003,2.576,0.3174,0.004005552,0.3063,0.001310539
FSUJ_003,2.664,0.3031,0.002831466,0.2948,0.000972384
FSUJ_003,2.752,0.2888,0.001985483,0.2837,0.000720297
FSUJ_003,2.84,0.2746,0.00138305,0.273,0.00053285
FSUJ_003,2.928,0.2607,0.000958215,0.2627,0.000393817
FSUJ_003,3.016,0.2471,0.000660996,0.2529,0.000290884
FSUJ_003,3.104,0.2341,0.00045439,0.2434,0.000214774
FSUJ_003,3.192,0.2215,0.000311505,0.2344,0.000158543
FSUJ_003,3.28,0.2095,0.00021309,0.2257,0.000117019
FSUJ_003,3.368,0.198,0.000145521,0.2173,8.6365e-05
FSUJ_003,3.456,0.187,9.9246e-05,0.2092,6.374e-05
FSUJ_003,3.544,0.1767,6.7617e-05,0.2015,4.7041e-05
FSUJ_003,3.632,0.1668,4.6031e-05,0.194,3.4717e-05
FSUJ_003,3.72,0.1575,3.1317e-05,0.1867,2.5623e-05
FSUJ_003,3.808,0.1486,2.1296e-05,0.1797,1.8912e-05
FSUJ_003,3.896,0.1403,1.4476e-05,0.1729,1.3961e-05
FSUJ_003,3.984,0.1324,9.838e-06,0.1662,1.0308e-05
FSUJ_003,4.072,0.1249,6.684e-06,0.1598,7.613e-06
FSUJ_003,4.16,0.1179,4.54e-06,0.1535,5.624e-06
FSUJ_003,4.248,0.1112,3.084e-06,0.1473,4.158e-06
FSUJ_003,4.336,0.105,2.094e-06,0.1413,3.076e-06
FSUJ_003,4.424,0.099,1.422e-06,0.1354,2.277e-06
FSUJ_003,4.512,0.0934,9.66e-07,0.1297,1.689e-06
FSUJ_003,4.6,0.0882,6.56e-07,0.124,1.255e-06
FSUJ_003,4.688,0.0832,4.45e-07,0.1184,9.35e-07
FSUJ_003,4.776,0.0785,3.02e-07,0.113,7e-07
FSUJ_003,4.864,0.074,2.05e-07,0.1076,5.26e-07
FSUJ_003,4.952,0.0698,1.39e-07,0.1022,3.99e-07
FSUJ_003,5.04,0.0659,9.5e-08,0.097,3.05e-07
FSUJ_003,5.128,0.0622,6.4e-08,0.0918,2.36e-07
FSUJ_003,5.216,0.0587,4.4e-08,0.0866,1.85e-07
FSUJ_003,5.304,0.0553,3e-08,0.0815,1.47e-07
FSUJ_003,5.392,0.0522,2e-08,0.0765,1.2e-07
FSUJ_003,5.48,0.0493,1.4e-08,0.0715,9.9e-08
FSUJ_003,5.568,0.0465,9e-09,0.0666,8.3e-08
FSUJ_003,5.656,0.0438,6e-09,0.0616,7.1e-08
FSUJ_003,5.744,0.0414,4e-09,0.0568,6.2e-08
FSUJ_003,5.832,0.039,3e-09,0.0519,5.4e-08
FSUJ_003,5.92,0.0368,2e-09,0.0471,4.7e-08
FSUJ_003,6.008,0.0347,1e-09,0.0423,4e-08
FSUJ_003,6.096,0.0328,1e-09,0.0375,3.4e-08
FSUJ_003,6.184,0.0309,1e-09,0.0328,2.8e-08
FSUJ_003,6.272,0.0292,0,0.028,2.2e-08
FSUJ_003,6.36,0.0275,0,0.0233,1.7e-08
FSUJ_003,6.448,0.026,0,0.0186,1.2e-08
FSUJ_003,6.536,0.0245,0,0.014,8e-09
FSUJ_003,6.624,0.0231,0,0.0093,5e-09
FSUJ_003,6.712,0.0218,0,0.0046,3e-09
FSUJ_003,6.8,0.0206,0,0,2e-09
FSUJ_004,-2,0.3558,0.073926645,0.3691,2.072889015
FSUJ_004,-1.912,0.3558,0.073687089,0.3691,2.07281618
FSUJ_004,-1.824,0.3558,0.073429471,0.3691,2.072721155
FSUJ_004,-1.736,0.3558,0.073152454,0.3691,2.072597166
FSUJ_004,-1.648,0.3558,0.072854604,0.3691,2.072435295
FSUJ_004,-1.56,0.3558,0.072534446,0.3691,2.072224051
FSUJ_004,-1.472,0.3558,0.072190342,0.3691,2.071948421
FSUJ_004,-1.384,0.3558,0.071820562,0.3691,2.071588732
FSUJ_004,-1.296,0.3558,0.071423265,0.3691,2.071119416
FSUJ_004,-1.208,0.3558,0.070996526,0.3691,2.070506937
FSUJ_004,-1.12,0.3558,0.070538237,0.3691,2.069707817
FSUJ_004,-1.032,0.3558,0.070046203,0.3691,2.068665207
FSUJ_004,-0.944,0.3558,0.069518085,0.3691,2.067305119
FSUJ_004,-0.856,0.3558,0.068951386,0.3691,2.065531155
FSUJ_004,-0.768,0.3558,0.068343497,0.3691,2.063217914
FSUJ_004,-0.68,0.3558,0.06769165,0.3691,2.060202358
FSUJ_004,-0.592,0.3558,0.066992934,0.369,2.056272181
FSUJ_004,-0.504,0.3558,0.066244267,0.369,2.051152166
FSUJ_004,-0.416,0.3558,0.065442442,0.369,2.044486042
FSUJ_004,-0.328,0.3558,0.064584113,0.369,2.035813453
FSUJ_004,-0.24,0.3558,0.063665771,0.369,2.024541716
FSUJ_004,-0.152,0.3558,0.062683798,0.369,2.009910829
FSUJ_004,-0.064,0.3558,0.061634461,0.369,1.990951864
FSUJ_004,0.024,0.3558,0.060513922,0.3689,1.966438235
FSUJ_004,0.112,0.3558,0.059318232,0.3689,1.934830167
FSUJ_004,0.2,0.3558,0.058043474,0.3688,1.894225767
FSUJ_004,0.288,0.3558,0.056685659,0.3688,1.842318656
FSUJ_004,0.376,0.3558,0.055240894,0.3687,1.776385543
FSUJ_004,0.464,0.3557,0.053705368,0.3686,1.693335331
FSUJ_004,0.552,0.3557,0.052075494,0.3684,1.589868885
FSUJ_004,0.64,0.3556,0.050347974,0.3682,1.462820305
FSUJ_004,0.728,0.3556,0.048519945,0.368,1.309756583
FSUJ_004,0.816,0.3555,0.046589162,0.3676,1.133244004
FSUJ_004,0.904,0.3554,0.044554154,0.3672,0.954921468
FSUJ_004,0.992,0.3552,0.042414514,0.3666,0.783968801
FSUJ_004,1.08,0.355,0.040171218,0.3659,0.624243329
FSUJ_004,1.168,0.3548,0.037826939,0.365,0.47976418
FSUJ_004,1.256,0.3544,0.035386573,0.3638,0.354141408
FSUJ_004,1.344,0.354,0.032857741,0.3624,0.249961896
FSUJ_004,1.432,0.3534,0.030251402,0.3606,0.168202343
FSUJ_004,1.52,0.3527,0.027582575,0.3584,0.1079323
FSUJ_004,1.608,0.3517,0.024870986,0.3557,0.066458847
FSUJ_004,1.696,0.3504,0.022141763,0.3525,0.039896574
FSUJ_004,1.784,0.3487,0.019425858,0.3487,0.024013635
FSUJ_004,1.872,0.3466,0.016760096,0.3442,0.015019404
FSUJ_004,1.96,0.3439,0.014186491,0.339,0.010034284
FSUJ_004,2.048,0.3404,0.011750618,0.3332,0.007177275
FSUJ_004,2.136,0.3361,0.009498661,0.3268,0.005384157
FSUJ_004,2.224,0.3308,0.007473243,0.3199,0.004128469
FSUJ_004,2.312,0.3244,0.005708332,0.3126,0.003177298
FSUJ_004,2.4,0.3167,0.004224258,0.305,0.002432561
FSUJ_004,2.488,0.3078,0.00302417,0.2973,0.001847746
FSUJ_004,2.576,0.2976,0.002093294,0.2895,0.001392959
FSUJ_004,2.664,0.2863,0.001401567,0.2817,0.001043662
FSUJ_004,2.752,0.274,0.000909053,0.274,0.00077834
FSUJ_004,2.84,0.261,0.000572499,0.2663,0.000578524
FSUJ_004,2.928,0.2475,0.000351132,0.2587,0.000428995
FSUJ_004,3.016,0.2338,0.000210443,0.2513,0.000317602
FSUJ_004,3.104,0.2201,0.00012367,0.244,0.000234877
FSUJ_004,3.192,0.2066,7.1498e-05,0.2368,0.000173572
FSUJ_004,3.28,0.1934,4.0787e-05,0.2297,0.000128207
FSUJ_004,3.368,0.1808,2.3019e-05,0.2227,9.4669e-05
FSUJ_004,3.456,0.1687,1.2881e-05,0.2159,6.989e-05
FSUJ_004,3.544,0.1573,7.16e-06,0.2091,5.1589e-05
FSUJ_004,3.632,0.1464,3.959e-06,0.2025,3.8077e-05
FSUJ_004,3.72,0.1363,2.181e-06,0.1959,2.8102e-05
FSUJ_004,3.808,0.1267,1.197e-06,0.1895,2.074e-05
FSUJ_004,3.896,0.1178,6.56e-07,0.1831,1.5308e-05
FSUJ_004,3.984,0.1095,3.59e-07,0.1769,1.1299e-05
FSUJ_004,4.072,0.1017,1.96e-07,0.1707,8.341e-06
FSUJ_004,4.16,0.0945,1.07e-07,0.1645,6.158e-06
FSUJ_004,4.248,0.0877,5.8e-08,0.1585,4.548e-06
FSUJ_004,4.336,0.0815,3.2e-08,0.1525,3.36e-06
FSUJ_004,4.424,0.0756,1.7e-08,0.1466,2.483e-06
FSUJ_004,4.512,0.0702,9e-09,0.1407,1.837e-06
FSUJ_004,4.6,0.0652,5e-09,0.1349,1.36e-06
FSUJ_004,4.688,0.0605,3e-09,0.1291,1.009e-06
FSUJ_004,4.776,0.0562,2e-09,0.1234,7.5e-07
FSUJ_004,4.864,0.0522,1e-09,0.1177,5.59e-07
FSUJ_004,4.952,0.0484,0,0.1121,4.18e-07
FSUJ_004,5.04,0.045,0,0.1065,3.15e-07
FSUJ_004,5.128,0.0417,0,0.1009,2.39e-07
FSUJ_004,5.216,0.0387,0,0.0954,1.83e-07
FSUJ_004,5.304,0.036,0,0.0899,1.42e-07
FSUJ_004,5.392,0.0334,0,0.0845,1.12e-07
FSUJ_004,5.48,0.031,0,0.079,9e-08
FSUJ_004,5.568,0.0288,0,0.0736,7.3e-08
FSUJ_004,5.656,0.0267,0,0.0682,6.1e-08
FSUJ_004,5.744,0.0248,0,0.0629,5.1e-08
FSUJ_004,5.832,0.023,0,0.0576,4.3e-08
FSUJ_004,5.92,0.0214,0,0.0522,3.7e-08
FSUJ_004,6.008,0.0198,0,0.0469,3.2e-08
FSUJ_004,6.096,0.0184,0,0.0417,2.7e-08
FSUJ_004,6.184,0.0171,0,0.0364,2.2e-08
FSUJ_004,6.272,0.0159,0,0.0312,1.8e-08
FSUJ_004,6.36,0.0147,0,0.0259,1.4e-08
FSUJ_004,6.448,0.0137,0,0.0207,1e-08
FSUJ_004,6.536,0.0127,0,0.0155,7e-09
FSUJ_004,6.624,0.0118,0,0.0103,4e-09
FSUJ_004,6.712,0.0109,0,0.0052,3e-09
FSUJ_004,6.8,0.0102,0,0,1e-09
FSUJ_005,-2,0.3991,0.163179358,0.4097,9.759462058
FSUJ_005,-1.912,0.3991,0.161831027,0.4097,9.759030605
FSUJ_005,-1.824,0.3991,0.160409376,0.4097,9.758464802
FSUJ_005,-1.736,0.3991,0.158910839,0.4097,9.757722207
FSUJ_005,-1.648,0.3991,0.15733172,0.4097,9.756748268
